tag,N,c,run,seed,target_spread,theta_max,num_max_theta_nodes,missing_max_theta_nodes_count,min_conn_alpha,ns_k,ns_spread,ns_k_eff,ns_missing_to_target,ns_completed_k,ns_completed_spread,ip_ok,ip_status,ip_k,ip_spread,outdir,heur_degree_k,heur_degree_spread,heur_degree_threshold_k,heur_degree_threshold_spread,heur_betweenness_k,heur_betweenness_spread,heur_degree_discounted_k,heur_degree_discounted_spread,heur_degree_connected_k,heur_degree_connected_spread
n200_c1_run1,200,1,1,10124,200,199,1,0,0.7,8,200,8,0,8,200,TRUE,9,8,200,./results_ns_ip_batch\n200_c1_run1,12,200,10,200,12,200,11,200,12,200
n200_c1_run2,200,1,2,10125,200,200,3,0,0.7,11,193,18,7,13,200,FALSE,,17,0,./results_ns_ip_batch\n200_c1_run2,24,200,18,200,22,200,24,200,24,200
n200_c1_run3,200,1,3,10126,200,199,1,0,0.7,17,200,17,0,17,200,TRUE,9,16,200,./results_ns_ip_batch\n200_c1_run3,23,200,21,200,21,200,23,200,23,200
n200_c1_run4,200,1,4,10127,200,200,1,0,0.7,20,200,20,0,20,200,TRUE,2,20,200,./results_ns_ip_batch\n200_c1_run4,28,200,25,200,28,200,29,200,28,200
n200_c5_run1,200,5,1,50124,200,200,3,0,0.7,10,197,13,3,12,200,TRUE,9,13,200,./results_ns_ip_batch\n200_c5_run1,22,200,15,200,21,200,22,200,22,200
n200_c5_run2,200,5,2,50125,200,200,3,0,0.7,16,200,16,0,16,200,TRUE,9,15,200,./results_ns_ip_batch\n200_c5_run2,31,200,24,200,27,200,30,200,31,200
n200_c5_run3,200,5,3,50126,200,200,7,0,0.7,13,192,21,8,17,200,FALSE,,22,0,./results_ns_ip_batch\n200_c5_run3,30,200,22,200,24,200,29,200,30,200
n200_c5_run4,200,5,4,50127,200,200,2,0,0.7,9,200,9,0,9,200,TRUE,9,12,200,./results_ns_ip_batch\n200_c5_run4,17,200,14,200,17,200,16,200,17,200
n200_c10_run1,200,10,1,100124,200,200,16,0,1,22,187,25,13,30,200,TRUE,9,26,200,./results_ns_ip_batch\n200_c10_run1,48,200,36,200,50,200,48,200,48,200
n200_c10_run2,200,10,2,100125,200,200,12,0,1,19,198,21,2,20,200,TRUE,9,22,200,./results_ns_ip_batch\n200_c10_run2,32,200,28,200,31,200,30,200,32,200
n200_c10_run3,200,10,3,100126,200,200,8,0,1,12,198,14,2,13,200,TRUE,9,14,200,./results_ns_ip_batch\n200_c10_run3,30,200,21,200,27,200,26,200,30,200
n200_c10_run4,200,10,4,100127,200,200,4,0,1,13,198,15,2,14,200,TRUE,9,14,200,./results_ns_ip_batch\n200_c10_run4,23,200,16,200,22,200,24,200,23,200
n200_c20_run1,200,20,1,200124,200,200,20,0,1,22,195,27,5,26,200,TRUE,2,26,200,./results_ns_ip_batch\n200_c20_run1,50,200,41,200,49,200,48,200,50,200
n200_c20_run2,200,20,2,200125,200,200,16,0,1,22,197,25,3,24,200,TRUE,9,24,200,./results_ns_ip_batch\n200_c20_run2,48,200,38,200,44,200,48,200,48,200
n200_c20_run3,200,20,3,200126,200,200,20,0,1,22,195,27,5,26,200,TRUE,2,26,200,./results_ns_ip_batch\n200_c20_run3,55,200,44,200,51,200,55,200,55,200
n200_c20_run4,200,20,4,200127,200,200,23,0,1,29,194,35,6,34,200,TRUE,9,33,200,./results_ns_ip_batch\n200_c20_run4,58,200,48,200,60,200,58,200,58,200
