n_nodes,c,seed,num_nodes,num_edges,max_time,GL_build_failed,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,NS_GL_gap,GL_history_json,NS_history_json
200,1,53,200,488,360.0,False,3.6552,356.6761,360.3313,12.0,360.0496,16,4.0,"[[200, 0.0], [84, 17.3229], [63, 36.3851], [43, 37.9539], [23, 38.0853], [22, 38.165], [18, 38.2234], [17, 38.3663], [16, 39.032], [15, 44.61], [14, 196.7824], [13, 238.9859], [12, 248.0448], [12, 360.3313]]","[[200, 0.0], [100, 0.0028], [50, 0.004], [25, 0.0058], [18, 0.1104], [17, 33.0005], [16, 49.1776], [16, 360.0496]]"
200,5,53,200,488,360.0,False,3.7065,356.603,360.3095,15.0,360.0743,16,1.0,"[[200, 0.0], [87, 17.7783], [65, 42.9298], [57, 44.5658], [32, 44.7366], [31, 44.8433], [27, 44.9199], [26, 45.0893], [19, 45.2343], [18, 45.4054], [17, 45.677], [16, 169.3675], [15, 187.5952], [15, 360.3095]]","[[200, 0.0], [100, 0.002], [50, 0.0032], [25, 0.6058], [21, 2.5111], [20, 3.7744], [19, 9.0465], [18, 14.3425], [17, 48.2334], [16, 67.205], [16, 360.0743]]"
200,10,53,200,488,360.0,False,3.691,356.9081,360.5991,19.0,360.071,16,-3.0,"[[200, 0.0], [90, 17.3681], [45, 34.6769], [42, 36.1507], [26, 36.2823], [22, 36.4151], [21, 59.8995], [20, 193.0583], [19, 229.5245], [19, 360.5991]]","[[200, 0.0], [100, 0.0019], [50, 0.1963], [25, 4.1037], [21, 23.9801], [20, 56.2267], [19, 61.3173], [18, 136.3231], [17, 195.5325], [16, 215.1535], [16, 360.071]]"
200,20,53,200,488,360.0,False,3.6715,356.5778,360.2493,29.0,360.0079,26,-3.0,"[[200, 0.0], [94, 17.3634], [50, 39.5558], [32, 40.681], [31, 40.7846], [30, 40.9865], [29, 168.8103], [29, 360.2493]]","[[200, 0.0], [100, 0.2091], [50, 2.1073], [28, 54.4122], [27, 131.772], [26, 207.3715], [26, 360.0078]]"
400,1,53,400,987,720.0,False,28.7058,695.1453,723.8511,17.0,720.1844,16,-1.0,"[[400, 0.0], [195, 159.1007], [149, 346.8127], [23, 349.0119], [22, 349.5796], [21, 510.438], [20, 598.7205], [19, 600.5045], [17, 603.2362], [17, 723.8511]]","[[400, 0.0], [200, 0.0112], [100, 0.0136], [50, 0.0178], [25, 3.7272], [21, 16.6984], [20, 25.2364], [19, 29.0947], [18, 63.9872], [17, 83.9809], [16, 174.818], [16, 720.1844]]"
400,5,53,400,987,720.0,False,30.8377,690.8816,721.7193,21.0,720.0175,19,-2.0,"[[400, 0.0], [197, 163.2484], [124, 391.2057], [32, 393.9417], [28, 395.7627], [25, 396.4603], [21, 495.6896], [21, 721.7193]]","[[400, 0.0], [200, 0.1811], [100, 0.9499], [50, 7.0857], [25, 137.3627], [21, 235.4582], [20, 471.1308], [19, 596.387], [19, 720.0175]]"
400,10,53,400,987,720.0,False,29.7345,693.0313,722.7658,23.0,720.0195,23,0.0,"[[400, 0.0], [199, 152.8335], [160, 285.76], [29, 288.3117], [28, 289.4826], [27, 290.6403], [25, 376.6619], [24, 512.3325], [23, 674.1206], [23, 722.7658]]","[[400, 0.0], [200, 0.2874], [100, 1.2977], [50, 110.4582], [27, 248.2663], [26, 346.2652], [25, 349.8368], [24, 510.2068], [23, 628.0538], [23, 720.0195]]"
400,20,53,400,987,720.0,False,29.4544,703.6406,733.095,31.0,720.0184,31,0.0,"[[400, 0.0], [202, 154.9168], [85, 300.0944], [82, 308.8685], [38, 309.8414], [37, 430.4409], [36, 430.7113], [35, 506.6828], [34, 587.2956], [32, 588.4783], [31, 589.1327], [31, 733.095]]","[[400, 0.0], [200, 0.4881], [100, 14.6371], [50, 58.5886], [49, 196.6733], [37, 439.4095], [31, 641.0573], [31, 720.0183]]"
600,1,53,600,1481,1080.0,False,100.187,1112.3242,1212.5112,280.0,1080.0318,21,-259.0,"[[600, 0.0], [280, 110.4143], [280, 1212.5112]]","[[600, 0.0], [300, 0.0423], [150, 0.0478], [75, 0.0564], [37, 0.0734], [27, 0.8233], [22, 129.9663], [21, 544.2555], [21, 1080.0317]]"
600,5,53,600,1481,1080.0,False,103.694,1074.7921,1178.4861,279.0,1080.0135,22,-257.0,"[[600, 0.0], [279, 113.2304], [279, 1178.4861]]","[[600, 0.0], [300, 0.0313], [150, 0.0382], [75, 0.0447], [37, 0.0595], [27, 8.227], [24, 375.8862], [23, 593.49], [22, 1067.859], [22, 1080.0135]]"
