algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,1,7,0.1776,66.0,"[[200, 0.0], [100, 0.0296], [66, 0.0592], [66, 0.1776]]"
degree,200,1,7,0.0071,59.0,"[[200, 0.0], [100, 0.0009], [64, 0.0022], [60, 0.0046], [59, 0.0071], [59, 0.0071]]"
degree_connected,200,1,7,0.0209,55.0,"[[200, 0.0], [100, 0.005], [63, 0.008], [56, 0.0115], [55, 0.0209], [55, 0.0209]]"
degree_discount,200,1,7,0.0264,76.0,"[[200, 0.0], [100, 0.0048], [77, 0.0084], [76, 0.0264], [76, 0.0264]]"
degree_threshold,200,1,7,0.0109,32.0,"[[200, 0.0], [100, 0.0013], [50, 0.0023], [39, 0.0042], [32, 0.0061], [32, 0.0109]]"
goldberg_liu,200,1,7,360.7785,16.0,"[[200, 0.0], [104, 4.1374], [53, 34.8503], [49, 36.3773], [22, 36.5257], [19, 36.8648], [18, 44.4598], [17, 54.2659], [16, 65.4105], [16, 360.7785]]"
high_thetas,200,1,7,0.0128,21.0,"[[200, 0.0], [100, 0.0013], [50, 0.0025], [25, 0.0045], [21, 0.0095], [21, 0.0128]]"
ns_binary_search,200,1,7,360.0219,16.0,"[[200, 0.0], [100, 0.0022], [50, 0.0036], [25, 0.0061], [21, 0.2275], [19, 0.3025], [18, 7.8246], [17, 33.5306], [16, 261.1683], [16, 360.0219]]"
betweenness,200,5,7,0.1242,106.0,"[[200, 0.0], [107, 0.0313], [106, 0.1242], [106, 0.1242]]"
degree,200,5,7,0.003,107.0,"[[200, 0.0], [107, 0.0008], [107, 0.003]]"
degree_connected,200,5,7,0.0214,104.0,"[[200, 0.0], [107, 0.0052], [105, 0.016], [104, 0.0214], [104, 0.0214]]"
degree_discount,200,5,7,0.0163,108.0,"[[200, 0.0], [108, 0.0039], [108, 0.0163]]"
degree_threshold,200,5,7,0.0108,45.0,"[[200, 0.0], [100, 0.0011], [50, 0.0022], [47, 0.0043], [45, 0.0057], [45, 0.0108]]"
goldberg_liu,200,5,7,360.51,19.0,"[[200, 0.0], [106, 4.232], [55, 35.0488], [48, 36.6709], [33, 36.829], [31, 37.1405], [25, 37.319], [22, 37.596], [21, 37.667], [20, 104.1393], [19, 104.1975], [19, 360.51]]"
high_thetas,200,5,7,0.0163,23.0,"[[200, 0.0], [100, 0.0014], [50, 0.0028], [25, 0.0052], [23, 0.0127], [23, 0.0163]]"
ns_binary_search,200,5,7,360.0159,17.0,"[[200, 0.0], [100, 0.0024], [50, 0.0039], [25, 0.0065], [20, 7.5271], [19, 7.5493], [18, 80.3115], [17, 232.152], [17, 360.0159]]"
betweenness,200,10,7,0.1242,107.0,"[[200, 0.0], [107, 0.031], [107, 0.1242]]"
degree,200,10,7,0.0031,107.0,"[[200, 0.0], [107, 0.0008], [107, 0.0031]]"
degree_connected,200,10,7,0.0211,107.0,"[[200, 0.0], [107, 0.0052], [107, 0.0211]]"
degree_discount,200,10,7,0.0163,108.0,"[[200, 0.0], [108, 0.004], [108, 0.0163]]"
degree_threshold,200,10,7,0.0017,102.0,"[[200, 0.0], [102, 0.0009], [102, 0.0017]]"
goldberg_liu,200,10,7,360.5177,24.0,"[[200, 0.0], [109, 4.2338], [75, 40.7866], [65, 42.7607], [52, 43.011], [48, 43.3574], [28, 43.4602], [27, 43.57], [26, 43.6707], [25, 44.499], [24, 53.7372], [24, 360.5177]]"
high_thetas,200,10,7,0.008,27.0,"[[200, 0.0], [100, 0.0013], [50, 0.0028], [27, 0.0053], [27, 0.008]]"
ns_binary_search,200,10,7,360.0088,23.0,"[[200, 0.0], [100, 0.0025], [50, 0.004], [25, 2.3372], [23, 39.5256], [23, 360.0087]]"
