algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,1,1,0.155,39,"[[200, 0.0], [100, 0.0298], [50, 0.0602], [39, 0.1232], [39, 0.155]]"
degree,200,1,1,0.0037,51,"[[200, 0.0], [100, 0.0006], [52, 0.0023], [51, 0.0037], [51, 0.0037]]"
degree_connected,200,1,1,0.0122,52,"[[200, 0.0], [100, 0.0052], [52, 0.0087], [52, 0.0122]]"
degree_discount,200,1,1,0.0156,55,"[[200, 0.0], [100, 0.0028], [56, 0.008], [55, 0.0119], [55, 0.0156]]"
degree_threshold,200,1,1,0.0145,23,"[[200, 0.0], [100, 0.0005], [50, 0.0015], [25, 0.0036], [23, 0.0116], [23, 0.0145]]"
high_thetas,200,1,1,0.0099,34,"[[200, 0.0], [100, 0.0004], [50, 0.0014], [37, 0.004], [34, 0.0076], [34, 0.0099]]"
betweenness,200,1,2,0.2532,36,"[[200, 0.0], [100, 0.0307], [50, 0.0621], [37, 0.1258], [36, 0.2532], [36, 0.2532]]"
degree,200,1,2,0.0082,53,"[[200, 0.0], [100, 0.0008], [64, 0.0025], [57, 0.0039], [53, 0.0055], [53, 0.0082]]"
degree_connected,200,1,2,0.0276,48,"[[200, 0.0], [100, 0.0052], [50, 0.0086], [48, 0.0245], [48, 0.0276]]"
degree_discount,200,1,2,0.0081,104,"[[200, 0.0], [104, 0.0028], [104, 0.0081]]"
degree_threshold,200,1,2,0.014,19,"[[200, 0.0], [100, 0.0005], [50, 0.0016], [25, 0.0037], [21, 0.0103], [19, 0.014], [19, 0.014]]"
high_thetas,200,1,2,0.0061,40,"[[200, 0.0], [100, 0.0004], [50, 0.0016], [43, 0.0036], [40, 0.0052], [40, 0.0061]]"
betweenness,200,1,3,0.176,60,"[[200, 0.0], [100, 0.029], [65, 0.0585], [61, 0.1173], [60, 0.176], [60, 0.176]]"
degree,200,1,3,0.008,52,"[[200, 0.0], [100, 0.0007], [65, 0.002], [57, 0.0034], [53, 0.005], [52, 0.008], [52, 0.008]]"
degree_connected,200,1,3,0.0226,55,"[[200, 0.0], [100, 0.0052], [67, 0.0083], [58, 0.012], [56, 0.019], [55, 0.0226], [55, 0.0226]]"
degree_discount,200,1,3,0.0357,37,"[[200, 0.0], [100, 0.0023], [50, 0.0072], [37, 0.0158], [37, 0.0357]]"
degree_threshold,200,1,3,0.0166,21,"[[200, 0.0], [100, 0.0004], [50, 0.0015], [25, 0.0039], [21, 0.0114], [21, 0.0166]]"
high_thetas,200,1,3,0.0036,37,"[[200, 0.0], [100, 0.0004], [50, 0.0013], [37, 0.003], [37, 0.0036]]"
betweenness,200,1,7,0.1829,66,"[[200, 0.0], [100, 0.0304], [66, 0.061], [66, 0.1829]]"
degree,200,1,7,0.0068,59,"[[200, 0.0], [100, 0.0008], [64, 0.002], [60, 0.0044], [59, 0.0068], [59, 0.0068]]"
degree_connected,200,1,7,0.0215,55,"[[200, 0.0], [100, 0.0051], [63, 0.0081], [56, 0.0117], [55, 0.0215], [55, 0.0215]]"
degree_discount,200,1,7,0.0211,77,"[[200, 0.0], [100, 0.003], [77, 0.0066], [77, 0.0211]]"
degree_threshold,200,1,7,0.0103,32,"[[200, 0.0], [100, 0.0005], [50, 0.0014], [39, 0.0033], [32, 0.0054], [32, 0.0103]]"
high_thetas,200,1,7,0.0117,33,"[[200, 0.0], [100, 0.0004], [50, 0.0013], [37, 0.004], [34, 0.0078], [33, 0.0117], [33, 0.0117]]"
betweenness,200,1,13,0.2482,47,"[[200, 0.0], [100, 0.0294], [50, 0.0601], [48, 0.2169], [47, 0.2482], [47, 0.2482]]"
degree,200,1,13,0.0231,30,"[[200, 0.0], [100, 0.0007], [50, 0.003], [37, 0.0103], [31, 0.0143], [30, 0.0231], [30, 0.0231]]"
degree_connected,200,1,13,0.0319,31,"[[200, 0.0], [100, 0.0053], [50, 0.0094], [37, 0.0177], [31, 0.0226], [31, 0.0319]]"
degree_discount,200,1,13,0.0415,36,"[[200, 0.0], [100, 0.0027], [50, 0.007], [37, 0.0167], [36, 0.0415], [36, 0.0415]]"
degree_threshold,200,1,13,0.0185,18,"[[200, 0.0], [100, 0.0005], [50, 0.0015], [25, 0.004], [18, 0.0108], [18, 0.0185]]"
high_thetas,200,1,13,0.0138,30,"[[200, 0.0], [100, 0.0003], [50, 0.0012], [37, 0.0042], [31, 0.0071], [30, 0.0138], [30, 0.0138]]"
betweenness,200,1,17,0.2155,19,"[[200, 0.0], [100, 0.0295], [50, 0.0597], [25, 0.0907], [21, 0.1838], [19, 0.2155], [19, 0.2155]]"
degree,200,1,17,0.016,15,"[[200, 0.0], [100, 0.0007], [50, 0.0019], [25, 0.0039], [18, 0.0089], [15, 0.0127], [15, 0.016]]"
degree_connected,200,1,17,0.0247,15,"[[200, 0.0], [100, 0.0052], [50, 0.0083], [25, 0.011], [18, 0.0165], [15, 0.0207], [15, 0.0247]]"
degree_discount,200,1,17,0.037,15,"[[200, 0.0], [100, 0.0022], [50, 0.0053], [25, 0.0097], [18, 0.0203], [15, 0.0284], [15, 0.037]]"
degree_threshold,200,1,17,0.0113,12,"[[200, 0.0], [100, 0.0004], [50, 0.0013], [25, 0.0028], [12, 0.0067], [12, 0.0113]]"
high_thetas,200,1,17,0.0054,36,"[[200, 0.0], [100, 0.0004], [50, 0.0013], [37, 0.0029], [36, 0.0054], [36, 0.0054]]"
betweenness,200,1,42,0.2239,29,"[[200, 0.0], [100, 0.0298], [50, 0.0607], [35, 0.094], [30, 0.1261], [29, 0.2239], [29, 0.2239]]"
degree,200,1,42,0.0135,44,"[[200, 0.0], [100, 0.0008], [50, 0.0023], [44, 0.0073], [44, 0.0135]]"
degree_connected,200,1,42,0.0256,45,"[[200, 0.0], [100, 0.0054], [50, 0.0088], [47, 0.0153], [45, 0.0256], [45, 0.0256]]"
degree_discount,200,1,42,0.0273,38,"[[200, 0.0], [100, 0.0025], [50, 0.0063], [44, 0.0182], [40, 0.023], [38, 0.0273], [38, 0.0273]]"
degree_threshold,200,1,42,0.0201,17,"[[200, 0.0], [100, 0.0005], [50, 0.0014], [25, 0.0037], [18, 0.0088], [17, 0.0201], [17, 0.0201]]"
high_thetas,200,1,42,0.0049,43,"[[200, 0.0], [100, 0.0004], [50, 0.0015], [43, 0.0044], [43, 0.0049]]"
betweenness,200,1,53,0.2423,28,"[[200, 0.0], [100, 0.0295], [50, 0.0593], [37, 0.1204], [31, 0.151], [28, 0.1815], [28, 0.2423]]"
degree,200,1,53,0.0126,48,"[[200, 0.0], [100, 0.0007], [50, 0.0021], [48, 0.0072], [48, 0.0126]]"
degree_connected,200,1,53,0.0229,44,"[[200, 0.0], [100, 0.0053], [50, 0.0085], [48, 0.0171], [45, 0.0201], [44, 0.0229], [44, 0.0229]]"
degree_discount,200,1,53,0.0076,102,"[[200, 0.0], [105, 0.0023], [102, 0.005], [102, 0.0076]]"
degree_threshold,200,1,53,0.0156,18,"[[200, 0.0], [100, 0.0005], [50, 0.0013], [25, 0.003], [18, 0.0089], [18, 0.0156]]"
high_thetas,200,1,53,0.0139,33,"[[200, 0.0], [100, 0.0003], [50, 0.0011], [37, 0.0042], [34, 0.0094], [33, 0.0139], [33, 0.0139]]"
betweenness,200,1,99,0.248,23,"[[200, 0.0], [100, 0.0306], [50, 0.061], [25, 0.093], [23, 0.2173], [23, 0.248]]"
degree,200,1,99,0.013,26,"[[200, 0.0], [100, 0.0007], [50, 0.0021], [37, 0.0049], [31, 0.0071], [28, 0.0098], [26, 0.013], [26, 0.013]]"
degree_connected,200,1,99,0.0199,25,"[[200, 0.0], [100, 0.0051], [50, 0.0085], [25, 0.0125], [25, 0.0199]]"
degree_discount,200,1,99,0.0348,50,"[[200, 0.0], [100, 0.0026], [50, 0.0078], [50, 0.0348]]"
degree_threshold,200,1,99,0.0109,23,"[[200, 0.0], [100, 0.0004], [50, 0.0014], [25, 0.0037], [23, 0.0097], [23, 0.0109]]"
high_thetas,200,1,99,0.0064,45,"[[200, 0.0], [100, 0.0003], [50, 0.0013], [46, 0.0039], [45, 0.0064], [45, 0.0064]]"
betweenness,200,1,101,0.2122,45,"[[200, 0.0], [100, 0.0296], [50, 0.0599], [48, 0.1515], [45, 0.1818], [45, 0.2122]]"
degree,200,1,101,0.0027,105,"[[200, 0.0], [105, 0.0007], [105, 0.0027]]"
degree_connected,200,1,101,0.0212,105,"[[200, 0.0], [105, 0.0053], [105, 0.0212]]"
degree_discount,200,1,101,0.011,53,"[[200, 0.0], [100, 0.0022], [55, 0.005], [53, 0.011], [53, 0.011]]"
degree_threshold,200,1,101,0.004,55,"[[200, 0.0], [100, 0.0004], [55, 0.0014], [55, 0.004]]"
high_thetas,200,1,101,0.0057,40,"[[200, 0.0], [100, 0.0003], [50, 0.0012], [43, 0.003], [40, 0.0046], [40, 0.0057]]"
betweenness,200,5,1,0.0602,102,"[[200, 0.0], [102, 0.0302], [102, 0.0602]]"
degree,200,5,1,0.0013,102,"[[200, 0.0], [102, 0.0006], [102, 0.0013]]"
degree_connected,200,5,1,0.0107,102,"[[200, 0.0], [102, 0.0053], [102, 0.0107]]"
degree_discount,200,5,1,0.005,102,"[[200, 0.0], [102, 0.0025], [102, 0.005]]"
degree_threshold,200,5,1,0.001,102,"[[200, 0.0], [102, 0.0005], [102, 0.001]]"
high_thetas,200,5,1,0.0107,32,"[[200, 0.0], [100, 0.0004], [50, 0.0015], [37, 0.004], [34, 0.0075], [32, 0.0107], [32, 0.0107]]"
betweenness,200,5,2,0.1221,107,"[[200, 0.0], [107, 0.0306], [107, 0.1221]]"
degree,200,5,2,0.0029,106,"[[200, 0.0], [107, 0.0008], [106, 0.0015], [106, 0.0029]]"
degree_connected,200,5,2,0.0163,103,"[[200, 0.0], [103, 0.0054], [103, 0.0163]]"
degree_discount,200,5,2,0.0101,106,"[[200, 0.0], [106, 0.0027], [106, 0.0101]]"
degree_threshold,200,5,2,0.0025,52,"[[200, 0.0], [100, 0.0005], [52, 0.0016], [52, 0.0025]]"
high_thetas,200,5,2,0.0079,39,"[[200, 0.0], [100, 0.0004], [50, 0.0016], [43, 0.0036], [40, 0.0056], [39, 0.0079], [39, 0.0079]]"
betweenness,200,5,3,0.2076,68,"[[200, 0.0], [100, 0.0294], [68, 0.0593], [68, 0.2076]]"
degree,200,5,3,0.0068,68,"[[200, 0.0], [100, 0.0007], [68, 0.002], [68, 0.0068]]"
degree_connected,200,5,3,0.0256,69,"[[200, 0.0], [100, 0.0053], [69, 0.0086], [69, 0.0256]]"
degree_discount,200,5,3,0.0185,66,"[[200, 0.0], [100, 0.0026], [68, 0.0063], [66, 0.0185], [66, 0.0185]]"
degree_threshold,200,5,3,0.0103,37,"[[200, 0.0], [100, 0.0004], [50, 0.0016], [38, 0.0041], [37, 0.0103], [37, 0.0103]]"
high_thetas,200,5,3,0.0062,35,"[[200, 0.0], [100, 0.0004], [50, 0.0014], [37, 0.0035], [35, 0.0062], [35, 0.0062]]"
betweenness,200,5,7,0.1239,106,"[[200, 0.0], [107, 0.0311], [106, 0.1239], [106, 0.1239]]"
degree,200,5,7,0.0024,107,"[[200, 0.0], [107, 0.0006], [107, 0.0024]]"
degree_connected,200,5,7,0.021,104,"[[200, 0.0], [107, 0.0051], [105, 0.0157], [104, 0.021], [104, 0.021]]"
degree_discount,200,5,7,0.0116,112,"[[200, 0.0], [112, 0.0024], [112, 0.0116]]"
degree_threshold,200,5,7,0.0096,45,"[[200, 0.0], [100, 0.0005], [50, 0.0015], [47, 0.0035], [45, 0.0049], [45, 0.0096]]"
high_thetas,200,5,7,0.0105,39,"[[200, 0.0], [100, 0.0004], [50, 0.0013], [43, 0.0044], [40, 0.0069], [39, 0.0105], [39, 0.0105]]"
betweenness,200,5,13,0.2191,68,"[[200, 0.0], [100, 0.031], [68, 0.0628], [68, 0.2191]]"
degree,200,5,13,0.0079,69,"[[200, 0.0], [100, 0.0008], [69, 0.0023], [69, 0.0079]]"
degree_connected,200,5,13,0.0273,69,"[[200, 0.0], [100, 0.0054], [69, 0.009], [69, 0.0273]]"
degree_discount,200,5,13,0.0048,102,"[[200, 0.0], [102, 0.0025], [102, 0.0048]]"
degree_threshold,200,5,13,0.0104,35,"[[200, 0.0], [100, 0.0005], [50, 0.0016], [42, 0.0042], [37, 0.0073], [35, 0.0089], [35, 0.0104]]"
high_thetas,200,5,13,0.0136,30,"[[200, 0.0], [100, 0.0004], [50, 0.0012], [37, 0.0041], [31, 0.0069], [30, 0.0136], [30, 0.0136]]"
betweenness,200,5,17,0.0897,103,"[[200, 0.0], [103, 0.0299], [103, 0.0897]]"
degree,200,5,17,0.0019,103,"[[200, 0.0], [103, 0.0006], [103, 0.0019]]"
degree_connected,200,5,17,0.0157,103,"[[200, 0.0], [103, 0.0052], [103, 0.0157]]"
degree_discount,200,5,17,0.0045,102,"[[200, 0.0], [102, 0.0023], [102, 0.0045]]"
degree_threshold,200,5,17,0.0019,52,"[[200, 0.0], [100, 0.0004], [52, 0.0012], [52, 0.0019]]"
high_thetas,200,5,17,0.006,36,"[[200, 0.0], [100, 0.0004], [50, 0.0013], [37, 0.003], [36, 0.006], [36, 0.006]]"
betweenness,200,5,42,0.062,102,"[[200, 0.0], [102, 0.0311], [102, 0.062]]"
degree,200,5,42,0.0012,102,"[[200, 0.0], [102, 0.0006], [102, 0.0012]]"
degree_connected,200,5,42,0.0104,102,"[[200, 0.0], [102, 0.0052], [102, 0.0104]]"
degree_discount,200,5,42,0.0054,101,"[[200, 0.0], [102, 0.0026], [101, 0.0053], [101, 0.0054]]"
degree_threshold,200,5,42,0.0023,52,"[[200, 0.0], [100, 0.0005], [52, 0.0014], [52, 0.0023]]"
high_thetas,200,5,42,0.0063,45,"[[200, 0.0], [100, 0.0004], [50, 0.0015], [46, 0.0034], [45, 0.0063], [45, 0.0063]]"
betweenness,200,5,53,0.0625,102,"[[200, 0.0], [102, 0.0313], [102, 0.0625]]"
degree,200,5,53,0.0014,102,"[[200, 0.0], [102, 0.0007], [102, 0.0014]]"
degree_connected,200,5,53,0.0103,102,"[[200, 0.0], [102, 0.0052], [102, 0.0103]]"
degree_discount,200,5,53,0.0073,103,"[[200, 0.0], [103, 0.0023], [103, 0.0073]]"
degree_threshold,200,5,53,0.0054,35,"[[200, 0.0], [100, 0.0005], [50, 0.0014], [42, 0.0029], [35, 0.0041], [35, 0.0054]]"
high_thetas,200,5,53,0.0134,33,"[[200, 0.0], [100, 0.0003], [50, 0.0011], [37, 0.0045], [34, 0.0088], [33, 0.0134], [33, 0.0134]]"
betweenness,200,5,99,0.0901,103,"[[200, 0.0], [103, 0.0301], [103, 0.0901]]"
degree,200,5,99,0.0012,102,"[[200, 0.0], [102, 0.0006], [102, 0.0012]]"
degree_connected,200,5,99,0.0103,102,"[[200, 0.0], [102, 0.0052], [102, 0.0103]]"
degree_discount,200,5,99,0.0212,77,"[[200, 0.0], [100, 0.0029], [81, 0.0067], [77, 0.0099], [77, 0.0212]]"
degree_threshold,200,5,99,0.0023,52,"[[200, 0.0], [100, 0.0004], [52, 0.0014], [52, 0.0023]]"
high_thetas,200,5,99,0.0073,42,"[[200, 0.0], [100, 0.0003], [50, 0.0014], [43, 0.0032], [42, 0.0073], [42, 0.0073]]"
betweenness,200,5,101,0.0889,103,"[[200, 0.0], [103, 0.0297], [103, 0.0889]]"
degree,200,5,101,0.0026,107,"[[200, 0.0], [107, 0.0007], [107, 0.0026]]"
degree_connected,200,5,101,0.0216,107,"[[200, 0.0], [107, 0.0053], [107, 0.0216]]"
degree_discount,200,5,101,0.0066,103,"[[200, 0.0], [103, 0.0022], [103, 0.0066]]"
degree_threshold,200,5,101,0.0009,102,"[[200, 0.0], [102, 0.0004], [102, 0.0009]]"
high_thetas,200,5,101,0.0057,40,"[[200, 0.0], [100, 0.0003], [50, 0.0012], [43, 0.003], [40, 0.0048], [40, 0.0057]]"
betweenness,200,10,1,0.0894,104,"[[200, 0.0], [104, 0.0299], [104, 0.0894]]"
degree,200,10,1,0.0018,104,"[[200, 0.0], [104, 0.0006], [104, 0.0018]]"
degree_connected,200,10,1,0.0159,104,"[[200, 0.0], [104, 0.0053], [104, 0.0159]]"
degree_discount,200,10,1,0.0076,104,"[[200, 0.0], [104, 0.0024], [104, 0.0076]]"
degree_threshold,200,10,1,0.0013,103,"[[200, 0.0], [103, 0.0004], [103, 0.0013]]"
high_thetas,200,10,1,0.0077,35,"[[200, 0.0], [100, 0.0004], [50, 0.0014], [37, 0.0041], [35, 0.0077], [35, 0.0077]]"
betweenness,200,10,2,0.121,107,"[[200, 0.0], [107, 0.0303], [107, 0.121]]"
degree,200,10,2,0.003,112,"[[200, 0.0], [112, 0.0007], [112, 0.003]]"
degree_connected,200,10,2,0.0214,106,"[[200, 0.0], [106, 0.0053], [106, 0.0214]]"
degree_discount,200,10,2,0.0118,111,"[[200, 0.0], [111, 0.0024], [111, 0.0118]]"
degree_threshold,200,10,2,0.0009,102,"[[200, 0.0], [102, 0.0004], [102, 0.0009]]"
