algorithm,n_nodes,c,seed,total_time,K,history
betweenness,6,1,1,0.0003,1,"[[6, 0.0], [3, 0.0002], [1, 0.0003], [1, 0.0003]]"
degree,6,1,1,0.0001,1,"[[6, 0.0], [3, 0.0001], [1, 0.0001], [1, 0.0001]]"
degree_connected,6,1,1,0.0001,1,"[[6, 0.0], [3, 0.0001], [1, 0.0001], [1, 0.0001]]"
degree_discount,6,1,1,0.0005,2,"[[6, 0.0], [3, 0.0003], [2, 0.0005], [2, 0.0005]]"
degree_threshold,6,1,1,0.0003,1,"[[6, 0.0], [3, 0.0002], [1, 0.0002], [1, 0.0003]]"
exact_ip,6,1,1,0.0393,1,"[[1, 0.0393]]"
goldberg_liu,6,1,1,0.0015,2,"[[6, 0.0], [4, 0.0006], [2, 0.0014], [2, 0.0015]]"
high_thetas,6,1,1,0.0001,1,"[[6, 0.0], [3, 0.0001], [1, 0.0001], [1, 0.0001]]"
nads_binary_search,6,1,1,0.0003,1,"[[6, 0.0], [3, 0.0002], [1, 0.0003], [1, 0.0003]]"
betweenness,6,1,42,0.0002,3,"[[6, 0.0], [3, 0.0001], [3, 0.0002]]"
degree,6,1,42,0.0001,3,"[[6, 0.0], [3, 0.0001], [3, 0.0001]]"
degree_connected,6,1,42,0.0001,3,"[[6, 0.0], [3, 0.0001], [3, 0.0001]]"
degree_discount,6,1,42,0.0004,2,"[[6, 0.0], [3, 0.0002], [2, 0.0004], [2, 0.0004]]"
degree_threshold,6,1,42,0.0002,2,"[[6, 0.0], [3, 0.0001], [2, 0.0002], [2, 0.0002]]"
exact_ip,6,1,42,0.1492,2,"[[2, 0.1492]]"
goldberg_liu,6,1,42,0.0014,3,"[[6, 0.0], [4, 0.0004], [3, 0.0013], [3, 0.0014]]"
high_thetas,6,1,42,0.0003,2,"[[6, 0.0], [3, 0.0001], [2, 0.0003], [2, 0.0003]]"
nads_binary_search,6,1,42,6.0,2,"[[6, 0.0], [3, 0.0002], [2, 0.0006], [2, 6.0]]"
betweenness,6,1,53,0.0003,3,"[[6, 0.0], [3, 0.0001], [3, 0.0003]]"
degree,6,1,53,0.0002,3,"[[6, 0.0], [3, 0.0001], [3, 0.0002]]"
degree_connected,6,1,53,0.0001,3,"[[6, 0.0], [3, 0.0001], [3, 0.0001]]"
