n_nodes,c,seed,num_nodes,num_edges,max_time,GL_build_failed,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,NS_GL_gap,GL_history_json,NS_history_json
200,1,42,200,514,360.0,False,3.8261,356.5179,360.344,15.0,360.1088,17,2.0,"[[200, 0.0], [105, 4.0251], [57, 28.7795], [50, 30.1897], [19, 30.3052], [18, 30.7166], [17, 31.1086], [16, 37.9212], [15, 57.1153], [15, 360.344]]","[[200, 0.0], [100, 0.0022], [50, 0.0035], [25, 0.0061], [18, 0.1049], [17, 0.4087], [17, 360.1088]]"
200,5,42,200,514,360.0,False,3.8181,356.4366,360.2547,17.0,360.0471,17,0.0,"[[200, 0.0], [109, 4.0165], [76, 31.4688], [53, 31.6288], [46, 31.938], [31, 32.1356], [30, 32.475], [20, 32.7141], [19, 33.3019], [18, 33.7406], [17, 56.9096], [17, 360.2547]]","[[200, 0.0], [100, 0.0017], [50, 0.1449], [25, 0.8848], [21, 2.0861], [20, 3.2561], [19, 5.4267], [18, 13.4539], [17, 24.9173], [17, 360.0471]]"
200,10,42,200,514,360.0,False,3.8103,209.4254,213.2357,21.0,360.1619,18,-3.0,"[[200, 0.0], [111, 4.0027], [42, 31.3925], [37, 32.489], [25, 32.5638], [24, 32.8606], [23, 33.0836], [22, 55.9698], [21, 84.7789], [21, 213.2357]]","[[200, 0.0], [100, 0.001], [50, 0.3355], [25, 4.1339], [23, 26.5558], [22, 54.7696], [21, 60.6214], [20, 218.5488], [19, 277.0609], [18, 327.7695], [18, 360.1618]]"
200,20,42,200,514,360.0,False,3.8363,25.7263,29.5626,30.0,360.0075,27,-3.0,"[[200, 0.0], [114, 4.0176], [41, 28.2985], [30, 29.4522], [30, 29.5626]]","[[200, 0.0], [100, 0.0008], [50, 0.7777], [37, 13.1414], [31, 30.0786], [29, 70.3436], [28, 135.205], [27, 267.532], [27, 360.0075]]"
400,1,42,400,1009,720.0,False,29.2177,691.4187,720.6364,26.0,720.1707,16,-10.0,"[[400, 0.0], [198, 30.856], [88, 312.977], [77, 324.7215], [33, 326.1523], [29, 327.4728], [28, 329.8898], [27, 338.7577], [26, 530.1631], [26, 720.6364]]","[[400, 0.0], [200, 0.0033], [100, 0.0055], [50, 0.0096], [25, 1.5289], [21, 21.7791], [19, 113.4522], [18, 251.6931], [17, 386.8183], [16, 500.6155], [16, 720.1707]]"
400,5,42,400,1009,720.0,False,29.9341,691.3692,721.3033,27.0,720.0115,23,-4.0,"[[400, 0.0], [199, 31.4732], [83, 526.9412], [75, 538.604], [36, 540.1335], [35, 541.0351], [32, 541.6734], [31, 542.6265], [30, 548.9829], [29, 553.5907], [28, 632.9527], [27, 638.044], [27, 721.3033]]","[[400, 0.0], [200, 0.0165], [100, 0.2755], [50, 3.1359], [25, 218.5065], [24, 651.7401], [23, 719.7599], [23, 720.0115]]"
400,10,42,400,1009,720.0,False,30.1182,690.9015,721.0197,31.0,720.0154,27,-4.0,"[[400, 0.0], [200, 31.6829], [83, 393.0798], [80, 405.6004], [36, 407.011], [35, 408.975], [33, 410.5485], [32, 411.3258], [31, 412.5078], [31, 721.0197]]","[[400, 0.0], [200, 0.0093], [100, 0.7307], [50, 4.9592], [29, 171.07], [27, 287.3724], [27, 720.0154]]"
400,20,42,400,1009,720.0,False,29.6932,699.5737,729.2669,205.0,720.0229,37,-168.0,"[[400, 0.0], [205, 31.2525], [205, 729.2669]]","[[400, 0.0], [200, 0.1994], [100, 6.0075], [50, 31.8683], [37, 311.5494], [37, 720.0229]]"
600,1,42,600,1519,1080.0,False,103.566,1000.8238,1104.3898,298.0,1080.0498,37,-261.0,"[[600, 0.0], [298, 113.3834], [298, 1104.3898]]","[[600, 0.0], [300, 0.0827], [150, 0.0897], [75, 0.1019], [37, 0.8487], [37, 1080.0498]]"
600,5,42,600,1519,1080.0,False,104.3259,990.4346,1094.7605,300.0,1080.0379,37,-263.0,"[[600, 0.0], [300, 114.3333], [300, 1094.7605]]","[[600, 0.0], [300, 0.0161], [150, 0.0207], [75, 3.2181], [37, 67.7127], [37, 1080.0379]]"
600,10,42,600,1519,1080.0,False,105.5619,1006.9854,1112.5473,300.0,1080.0265,37,-263.0,"[[600, 0.0], [300, 115.5148], [300, 1112.5473]]","[[600, 0.0], [300, 0.0163], [150, 0.3941], [75, 10.0045], [37, 424.2697], [37, 1080.0265]]"
600,20,42,600,1519,1080.0,False,106.1311,1211.1891,1317.3202,306.0,1080.028,75,-231.0,"[[600, 0.0], [306, 117.2403], [306, 1317.3202]]","[[600, 0.0], [300, 0.3117], [150, 8.9474], [75, 48.9412], [75, 1080.028]]"
1000,1,42,1000,2483,1800.0,True,,,,,1805.6176,62,,[],"[[1000, 0.0], [500, 0.0049], [250, 0.0117], [125, 0.0251], [62, 35.8257], [62, 1805.6176]]"
1000,5,42,1000,2483,1800.0,True,,,,,1805.3337,62,,[],"[[1000, 0.0], [500, 0.0051], [250, 4.2695], [125, 22.3733], [62, 446.6574], [62, 1805.3336]]"
1000,10,42,1000,2483,1800.0,True,,,,,1800.0995,64,,[],"[[1000, 0.0], [500, 0.0052], [250, 133.7712], [125, 236.1258], [64, 1800.0994], [64, 1800.0994]]"
1000,20,42,1000,2483,1800.0,True,,,,,1800.1246,252,,[],"[[1000, 0.0], [500, 0.5762], [252, 1800.1246], [252, 1800.1246]]"
2000,1,42,2000,4971,3600.0,True,,,,,3600.0894,125,,[],"[[2000, 0.0], [1000, 0.0133], [500, 0.0265], [250, 0.0553], [125, 0.1423], [125, 3600.0894]]"
2000,5,42,2000,4971,3600.0,True,,,,,3600.078,125,,[],"[[2000, 0.0], [1000, 0.0133], [500, 0.0265], [250, 0.0572], [125, 1373.1952], [125, 3600.0779]]"
