algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,1,99,0.2445,21.0,"[[200, 0.0], [100, 0.0306], [50, 0.0614], [25, 0.0935], [21, 0.1861], [21, 0.2445]]"
degree,200,1,99,0.0134,24.0,"[[200, 0.0], [100, 0.0008], [50, 0.0023], [25, 0.0057], [24, 0.0134], [24, 0.0134]]"
degree_connected,200,1,99,0.0201,25.0,"[[200, 0.0], [100, 0.0052], [50, 0.0085], [25, 0.0126], [25, 0.0201]]"
degree_discount,200,1,99,0.0414,35.0,"[[200, 0.0], [100, 0.0041], [50, 0.0097], [38, 0.0156], [36, 0.0347], [35, 0.0414], [35, 0.0414]]"
degree_threshold,200,1,99,0.012,23.0,"[[200, 0.0], [100, 0.0011], [50, 0.0023], [25, 0.0046], [23, 0.0107], [23, 0.012]]"
goldberg_liu,200,1,99,99.915,17.0,"[[200, 0.0], [101, 3.941], [43, 25.9602], [30, 27.3246], [28, 27.3472], [21, 27.4187], [18, 27.6231], [17, 99.8348], [17, 99.915]]"
high_thetas,200,1,99,0.0128,24.0,"[[200, 0.0], [100, 0.0013], [50, 0.0027], [25, 0.0056], [24, 0.0128], [24, 0.0128]]"
nads_binary_search,200,1,99,360.0437,16.0,"[[200, 0.0], [100, 0.0015], [50, 0.003], [25, 0.006], [21, 0.4637], [19, 0.8207], [18, 4.1778], [17, 61.9361], [16, 280.0583], [16, 360.0437]]"
betweenness,200,5,99,0.0915,103.0,"[[200, 0.0], [103, 0.0306], [103, 0.0914]]"
degree,200,5,99,0.0015,102.0,"[[200, 0.0], [102, 0.0008], [102, 0.0015]]"
degree_connected,200,5,99,0.0103,102.0,"[[200, 0.0], [102, 0.0051], [102, 0.0103]]"
degree_discount,200,5,99,0.0172,53.0,"[[200, 0.0], [100, 0.0037], [53, 0.0084], [53, 0.0172]]"
degree_threshold,200,5,99,0.0031,52.0,"[[200, 0.0], [100, 0.0009], [52, 0.002], [52, 0.0031]]"
goldberg_liu,200,5,99,103.5963,20.0,"[[200, 0.0], [103, 3.9557], [33, 29.8158], [31, 30.8456], [24, 30.9144], [22, 31.069], [21, 31.5484], [20, 103.5143], [20, 103.5963]]"
high_thetas,200,5,99,0.0134,27.0,"[[200, 0.0], [100, 0.0013], [50, 0.0029], [37, 0.0056], [31, 0.0077], [28, 0.0097], [27, 0.0134], [27, 0.0134]]"
nads_binary_search,200,5,99,360.0233,16.0,"[[200, 0.0], [100, 0.0016], [50, 0.0032], [25, 0.0764], [18, 3.7311], [17, 75.829], [16, 309.9749], [16, 360.0233]]"
betweenness,200,10,99,0.0906,104.0,"[[200, 0.0], [104, 0.0303], [104, 0.0906]]"
degree,200,10,99,0.0022,104.0,"[[200, 0.0], [104, 0.0008], [104, 0.0022]]"
degree_connected,200,10,99,0.0156,104.0,"[[200, 0.0], [104, 0.0052], [104, 0.0156]]"
degree_discount,200,10,99,0.0075,102.0,"[[200, 0.0], [102, 0.0039], [102, 0.0075]]"
degree_threshold,200,10,99,0.0043,54.0,"[[200, 0.0], [100, 0.0009], [54, 0.002], [54, 0.0043]]"
goldberg_liu,200,10,99,109.0648,25.0,"[[200, 0.0], [104, 3.9658], [32, 32.2541], [30, 33.2644], [27, 33.295], [26, 33.3155], [25, 108.9689], [25, 109.0648]]"
high_thetas,200,10,99,0.0109,32.0,"[[200, 0.0], [100, 0.0013], [50, 0.0029], [37, 0.0056], [34, 0.0086], [32, 0.0109], [32, 0.0109]]"
nads_binary_search,200,10,99,360.006,21.0,"[[200, 0.0], [100, 0.0019], [50, 0.0039], [25, 0.3487], [23, 23.2713], [22, 28.9239], [21, 104.4521], [21, 360.006]]"
